image_name,condition,pilling,smell,color,type
4ac93793-75f6-446c-a7db-5d5aa30788d1.jpg,3,5,FALSE,Pink,top
307c04c2-3e40-460b-a66a-e0e440bb3d44.jpg,4,5,FALSE,White,bottom
9c48e7ab-00cc-41ca-8b00-ce4ac0efa6ce.jpg,5,5,FALSE,White,top
b89ced41-8cef-4ff0-ab62-b3c676fe1940.jpg,2,2,FALSE,Brown,bottom
bcc93b6c-3da9-4a0b-a5f3-0ce177586128.jpg,3,4,FALSE,Gray,top
0d9152a1-6ab6-4295-a7e6-b51e93f6b7a7.jpg,3,3,FALSE,Black,bottom
a6b8a6f3-2662-4500-be0b-1aafc28e75c6.jpg,3,4,FALSE,Red,top
dcc7c82d-64b7-4d7a-9499-e8ea27a78887.jpg,4,5,FALSE,Black,top
67dd0903-5f6f-4a40-8a3f-27c2d4925396.jpg,2,5,FALSE,Black,bottom
f5c1653e-eb93-4447-a721-5146ec81c68e.jpg,5,5,FALSE,Black,bottom
8c2ae5e1-14f4-40dd-b3ae-e308d1c5c5c8.jpg,2,4,TRUE,Blue,top
67f6c181-77ff-4cc3-8d7a-7dff1684ac88.jpg,4,4,FALSE,Black,top
835ba08f-0d09-40e7-9406-1cb662b87065.jpg,2,1,TRUE,Blue,bottom
9c0aed84-26b8-49c6-840e-a0394614ea7a.jpg,3,5,FALSE,White,top
db98d79d-4e2e-4035-aaf2-075aa80625c5.jpg,5,5,FALSE,White,top
88db6464-2a12-49b3-af7d-687853c2c069.jpg,2,5,TRUE,Black,top
f8e0feb5-8ecb-4880-9d18-71e2e37c1fb8.jpg,1,5,TRUE,Brown,top
4556e03a-69d2-4ab6-8ba0-a6002cfe9328.jpg,2,3,FALSE,Gray,bottom
1605ddfc-3bf3-4a9d-b679-8063280b98ba.jpg,2,3,TRUE,Yellow,bottom
fefe7b4d-1b66-4570-9cb2-59e3f8a9ac26.jpg,3,4,TRUE,Black,bottom
4b39883f-bb12-4c35-906f-c9f36cbef5e5.jpg,5,5,FALSE,Blue,top
dadffb65-2917-4f7b-a944-2a651d6a5da3.jpg,3,4,FALSE,Gray,bottom
ebb866f7-2ed0-4898-a5a5-48e837e5e71d.jpg,3,4,FALSE,Black,top
4eb63a4b-50a3-45c0-a14e-128d2dd8b875.jpg,4,4,TRUE,Purple,top
59805781-70fa-4b8d-8857-9d40bb75fe66.jpg,4,5,FALSE,White,top
8e8bdfe6-f235-4a11-9916-84be89b0d102.jpg,1,3,TRUE,Gray,bottom
1dba8907-66ee-413b-a858-2de74f5b3ef2.jpg,4,4,FALSE,Blue,top
d9e999bd-54b0-4000-89aa-948cde92c90a.jpg,3,1,TRUE,Pink,top
8d6591c0-9b42-46b0-9bd2-494e63dbae00.jpg,3,3,TRUE,Pink,top
ab76985d-35df-45bb-8840-3d21e3f825cd.jpg,2,2,TRUE,White,bottom
0ec7c530-e637-4a37-8674-0401dfe0e354.jpg,1,4,TRUE,Gray,bottom
6f41375f-a8f2-45a5-b4ba-ab7faee2310d.jpg,2,2,FALSE,White,top
e888bdc1-1e84-4923-98c4-7fc20bb2289e.jpg,3,5,FALSE,Brown,top
b4a4899e-9c9d-4b9f-81ce-ad3b705892f1.jpg,4,4,FALSE,Pink,bottom
a9b4fce5-e6a7-43d6-a848-f7adae7d54f0.jpg,1,5,FALSE,Blue,top
763f32e0-3d06-48ec-a3c4-4750b3806887.jpg,4,5,TRUE,Black,top
c0e9f648-8217-4114-a59d-8675107455de.jpg,3,5,FALSE,Black,top
1c74fe86-c452-47ed-9032-f7676d049961.jpg,5,5,FALSE,Orange,top
738bd356-bf5c-4e4b-98a6-633e804f5cb2.jpg,2,5,TRUE,White,bottom
69bf5e9f-8a43-4284-813d-fc3bc489682e.jpg,2,4,TRUE,White,top
20638795-669e-4099-9f72-cf26565d876b.jpg,4,4,FALSE,White,top
14a99b53-f7a4-466d-b615-0670c4d78e89.jpg,3,2,TRUE,White,top
681237cd-e0b0-4b2c-88c1-6b2d75a0cbad.jpg,5,5,FALSE,White,top
3b2c6a69-ac4b-4307-b67d-dd0cdb03ef79.jpg,1,5,FALSE,Blue,top
3bbf4307-c4f6-40b1-9e6c-bd4c57ffbda7.jpg,3,4,TRUE,White,top
5512f9a5-5e14-4ffb-bb4d-e107f85de309.jpg,3,3,FALSE,Black,bottom
c6a7aab4-d925-48ef-a467-275374528273.jpg,2,4,TRUE,White,top
c36eb3f3-ee1e-408f-8ed5-bb49aff2ef46.jpg,3,3,FALSE,Gray,bottom
a7eccbab-405c-436c-a0f6-edac3ddd145f.jpg,5,5,TRUE,Blue,top
5534b14a-c297-416a-bcc7-fb136c63806a.jpg,2,4,FALSE,Black,bottom
c7fae21a-8d29-47f3-9e44-a8d3f352c14d.jpg,3,3,FALSE,White,top
dfb47925-e547-4277-9e3e-fbb35fa6e2e6.jpg,3,3,FALSE,Brown,top
bd2b2034-0110-4c74-876d-b11dd6795121.jpg,1,2,TRUE,White,top
61160637-e291-4d03-b1dc-9345460e7b62.jpg,3,4,TRUE,Black,top
f2b2ce2f-cb8b-432f-a849-73a2897ea4fc.jpg,2,4,TRUE,Black,bottom
427d7bf8-31bb-461b-87b6-e83cad8bc49b.jpg,2,4,TRUE,Green,top
e65691ce-afcf-4ab0-bfc8-7fd36f7fc779.jpg,5,4,TRUE,Gray,top
2c0a0777-9482-4946-9242-31b33b856c5a.jpg,2,4,TRUE,Black,top
9c5446c6-756a-4b5e-b9a7-283f27fc075f.jpg,4,4,FALSE,Blue,top
d55dc9c2-0127-4a32-a0e2-7a2d3b011c5d.jpg,4,4,FALSE,Brown,top
0fc0c1b8-4043-4ba4-973c-8ca2491fe1b0.jpg,4,4,FALSE,White,top
81ec6702-8a3a-4d27-8871-cae26b31479f.jpg,5,5,FALSE,Gray,top
58ad2bad-38c2-4581-a41a-18dbe8a19d24.jpg,2,4,TRUE,Gray,bottom
492ed130-5ff9-40b2-9b6f-23ee78a9bd6a.jpg,3,5,FALSE,Blue,top
2a6fc64f-56a4-4495-89f8-51a07726f859.jpg,4,5,TRUE,Red,top
6cc389a3-72c7-4e19-9ffe-dfe0d5c0ede9.jpg,3,3,FALSE,Green,top
e83e61a3-ce6a-4ad6-9820-6ff11fd7f757.jpg,3,5,TRUE,Yellow,top
dd0267f9-83c8-4ae2-b4ca-28cfe3287fea.jpg,3,3,TRUE,Blue,top
50cbc90e-47e4-47d0-b023-508ac59d1294.jpg,2,5,FALSE,Blue,top
7dd7e1f8-d4ec-4715-b1b9-4c2463c0c674.jpg,5,3,FALSE,White,bottom
7ccbc6ac-d087-460d-8746-6d1ba5e3f3a9.jpg,3,3,FALSE,Purple,top
bd0731ef-2e5d-4f62-a1ae-13a060000f1d.jpg,5,5,FALSE,Black,top
2dfe4888-b541-43f3-b3ae-0250ef039ccf.jpg,1,2,TRUE,White,top
3b951182-3254-4ca8-8ac8-33359e9a3c00.jpg,3,1,FALSE,Blue,top
8ff7a179-1c04-430a-a08a-6f50b21cc3e7.jpg,5,5,FALSE,Pink,top
8b28b819-8854-47aa-a980-bd8f6cea6166.jpg,2,4,TRUE,White,top
f324f5ed-f50f-4a64-8ece-c927eb64a773.jpg,4,5,TRUE,Blue,bottom
a67bd5e9-c7b0-4409-84f1-cf8593d9765f.jpg,3,3,FALSE,Yellow,top
7ccdc9c4-0983-4b40-9e27-2dbde8873af5.jpg,5,5,FALSE,Green,top
0e66aa2a-4895-417e-8add-e93a2e5e8aca.jpg,3,5,FALSE,Blue,bottom
e08d758b-ef7c-4037-a4b4-9ab0d0093b22.jpg,3,5,TRUE,White,top
f6660573-2dd4-4fc9-ab02-75afdcc4d7a5.jpg,2,3,TRUE,Brown,bottom
75ddec28-4a07-4617-a7ed-4c1ea4e52974.jpg,3,4,TRUE,White,top
3580d74b-ac09-4c9a-9fa3-81ae215d63cf.jpg,4,5,FALSE,Green,bottom
b9e2868f-eddc-4815-90ed-20eea3c6cb3a.jpg,5,5,FALSE,White,bottom
15870026-02b7-491c-a5f4-722d24e86b11.jpg,4,4,FALSE,Green,top
1ad146ba-de9b-4b50-a37e-521a5ac1a142.jpg,2,3,TRUE,Green,top
8415a54d-222c-428b-925b-92d5e9a7a615.jpg,3,4,FALSE,Gray,top
6652aa64-6cfe-48f9-9a0c-aa2787f365f7.jpg,4,5,FALSE,Gray,top
5f25cc35-af8e-4ce0-96db-959265a3dfd2.jpg,5,5,FALSE,Blue,top
e201e94e-f69c-4880-9b95-3f2481f901ef.jpg,2,3,FALSE,Purple,bottom
3996cf74-feca-49a8-a7cf-f2abd146d2f8.jpg,1,1,TRUE,Gray,top
0d2dc18a-8fb3-485f-b3dc-36b0a75a2599.jpg,3,5,FALSE,Yellow,top
0b30be73-bd54-4f4d-851a-c255696a0742.jpg,3,4,TRUE,Black,bottom
fce14257-0f08-4b8f-9606-a010d4d6b9e5.jpg,3,4,FALSE,Blue,bottom
b91f32ea-0f9b-45dc-8c9c-c79c5ac8b23f.jpg,3,5,FALSE,Pink,top
7b1b72c4-cdfa-4427-8c26-b9ba7802c929.jpg,3,4,TRUE,Purple,top
7d6040bb-88da-4315-afd1-457731658ba8.jpg,5,5,FALSE,Orange,top
3878a7c5-a1b5-44fe-830c-36496c2b1115.jpg,2,2,FALSE,Blue,top
f3faa9f2-fc4a-44dc-b41c-237244296ffd.jpg,4,4,FALSE,Blue,top
0f38a2f6-82f6-4b82-b173-5d3085c6c51b.jpg,2,3,FALSE,White,top
b145e8fc-e837-4aaa-a5ac-01a76fc25bcf.jpg,3,5,FALSE,Blue,bottom
9c2405e0-6e71-413e-a001-dc445088676a.jpg,4,4,FALSE,Blue,top
a5ebf56f-0b9a-49a6-af31-2f238cf90aff.jpg,1,5,FALSE,White,top
a7a0356a-7b22-4bfe-b9bd-036e6d762995.jpg,4,3,FALSE,Purple,top
4fe70f47-6e23-4615-83e2-3dc52178ad1a.jpg,4,4,FALSE,White,top
289183e3-2074-4f5e-906e-ddd7cbf742b7.jpg,3,5,FALSE,Blue,top
d5f7b452-930d-41d0-917a-24ed5aeca63a.jpg,2,2,TRUE,Blue,top
9a3cdd90-2e98-4dc7-8d99-6d66d027ea1a.jpg,2,4,FALSE,Gray,top
8b8ec1d3-0493-44a0-88ba-8beb6e7762da.jpg,1,2,FALSE,Orange,top
46e10468-6f09-4893-9130-6d27f1965fae.jpg,4,5,FALSE,Blue,bottom
a944e1c0-c9a8-427a-bd3e-2a78881c28a6.jpg,5,5,FALSE,White,top
1d4c2cb1-c24b-4769-8e8f-83dd12e24947.jpg,3,4,TRUE,White,top
1796ad48-59dc-44d0-9c9e-6fee20f5e94b.jpg,5,5,FALSE,Red,top
a998955e-290d-4484-852b-57e34dee2045.jpg,4,5,FALSE,Gray,top
3ac5ca69-714a-43f3-86f9-55734e651705.jpg,5,5,FALSE,White,top
9fecdb04-d376-4aeb-b76f-e87c15c1c719.jpg,2,2,FALSE,White,top
d3c86ccf-d4e4-44cc-af9c-bedb132dfdb9.jpg,4,4,FALSE,Black,top
489000d3-80b1-499d-8eb4-6c3e7941733a.jpg,5,5,FALSE,Black,bottom
5f8e1151-780c-4a5a-923c-bc92a62c5378.jpg,3,4,TRUE,Black,bottom
4cfe1791-eb3d-4862-83b8-bd95f023fb8f.jpg,3,4,FALSE,Green,top
335d169e-387a-43af-88b0-1b1ec27c6713.jpg,5,5,FALSE,Brown,bottom
6bbed0c5-f8ac-44b4-a43a-f9ccc45ba447.jpg,2,1,TRUE,Gray,top
003a86e8-63db-46c9-bf7b-bd3db66e2278.jpg,4,4,TRUE,Orange,top
8a78fc99-6c7c-4b9d-a95d-b8dcf458dc6e.jpg,3,5,TRUE,White,bottom
a78e61d7-c3b5-4fa3-9ecf-e90051940906.jpg,2,4,FALSE,Black,top
2976f595-7d11-4092-ac14-a74ea638046a.jpg,5,4,FALSE,Black,top
70c32c2f-2e5e-435f-84c6-4b563f539957.jpg,5,5,FALSE,Orange,top
03d1b4ad-c6d6-4770-8ced-dbbfb54235a0.jpg,2,4,TRUE,Red,top
c0b6d480-19a8-4ef8-a747-a40f400d5f71.jpg,2,5,FALSE,Blue,top
199c2f72-296b-4123-8ef7-0c84c0f608fa.jpg,3,4,TRUE,Black,bottom
1dca41da-1506-41f6-83af-804ee6fd868d.jpg,3,3,FALSE,Black,top
fb66880f-27ba-4000-9cba-ab57ca9e7d3e.jpg,1,4,TRUE,Blue,top
ad7a422b-b235-410b-a389-a909ca14abdd.jpg,4,4,FALSE,Black,bottom
8edf6143-c751-48bd-88d6-36469962c3b4.jpg,3,1,TRUE,Gray,top
dd6755d0-9f4d-4d00-bce4-0bc3c8367bf8.jpg,3,3,TRUE,Pink,top
7a2d1dfd-73cd-43fa-91ef-de5ea93c9ccc.jpg,4,5,FALSE,Red,top
6bf7a27b-c4c5-4fdd-86ca-a638ed65e8ab.jpg,2,5,FALSE,Green,top
c64f367a-ae4a-43b2-90bd-352d32c6e2ab.jpg,3,3,FALSE,Gray,bottom
f76b2fe1-aac4-4770-91f1-3242bd388a14.jpg,3,3,FALSE,Black,bottom
fda7f604-5e6d-4649-a5e9-746508385f61.jpg,1,5,TRUE,White,top
15919088-ec19-4636-b4b3-d4dc7ab5f15b.jpg,2,5,FALSE,Brown,top
4f61fed0-c1d4-4727-b61a-4491a61bd063.jpg,3,5,TRUE,Blue,bottom
48ce5f92-7d7a-48e1-af9a-5295de8c0a83.jpg,1,5,FALSE,White,top
0d489ff6-4997-4299-9813-95a18187bd0e.jpg,3,5,TRUE,Blue,top
a477cc25-bd70-4c62-bc9f-3159db061b62.jpg,4,4,TRUE,Blue,top
26274583-0330-48d3-963d-900c5dcac758.jpg,1,1,FALSE,Green,top
ae21557a-ae33-49ea-beac-93fdb4433760.jpg,3,5,FALSE,Blue,top
82160f59-7dc6-46bd-8c33-53cd96ee179d.jpg,2,5,TRUE,White,top
164fb89b-243a-4053-b81a-c594fb203fec.jpg,1,4,FALSE,Gray,top
9485df8f-27e0-4d53-8d47-fc23ae0cbd18.jpg,4,4,FALSE,Pink,top
9d0981c8-82fb-452c-897c-364876d0ce97.jpg,5,5,FALSE,Blue,top
f0058231-c839-48ed-9737-a1511f4ea88b.jpg,4,5,FALSE,Black,top
0eed1bb7-3911-46ef-bdd0-0a3c0441d359.jpg,3,3,FALSE,Blue,top
e76a039d-f22c-4498-882d-3ec8bf6f8a2c.jpg,4,4,FALSE,Green,top
a991ca52-6382-4d09-8011-04232473adfe.jpg,2,4,TRUE,Pink,bottom
3dcf005b-fc2c-4d35-87eb-5c7119932721.jpg,3,4,FALSE,White,top
dcbba654-8e14-4412-ad7e-21d001a59c8b.jpg,4,2,FALSE,White,top
50b2dc4d-ba8c-4788-a745-47f6aade56ff.jpg,3,3,TRUE,Blue,bottom
8dd5eb49-32f4-4dea-9acc-7bce0f77d409.jpg,3,4,TRUE,Purple,top
0cfc6987-d516-45ee-b412-c1f48f397892.jpg,3,4,TRUE,Purple,bottom
1017137a-bb98-4a80-a01c-139d00154f42.jpg,4,5,FALSE,Black,top
4229bd3f-a3fc-4a7d-8f04-44e2fdd680e7.jpg,5,4,FALSE,Gray,top
cdded973-b20f-416f-b8cf-6a64f389a88d.jpg,3,5,FALSE,White,top
97d22721-374b-4082-baae-b0ccb0802e16.jpg,3,3,FALSE,Green,top
16d194f7-7d80-444f-9e74-235839bfe165.jpg,4,5,FALSE,Gray,bottom
3ad9fa0d-2410-4793-af01-0c9421cfe01d.jpg,4,5,TRUE,Green,top
9fe16ff4-df70-447f-abaa-644bdd6298bf.jpg,5,5,FALSE,White,top
a118627f-f549-4c0a-b088-dd793e45b377.jpg,1,5,FALSE,Brown,bottom
a484e38a-aee9-4128-be8e-0d08bd512824.jpg,4,5,FALSE,Black,top
8609cb8e-ca58-4642-9e8b-5d066ee9bf8d.jpg,3,5,TRUE,Brown,top
b5d28c45-0883-4882-963e-52d5e33130a4.jpg,4,4,TRUE,Gray,top
55805843-325a-4ed6-af41-6cc516de08c4.jpg,3,3,FALSE,White,top
0ba6353e-f850-40b8-9473-b32fbc2ccbe2.jpg,5,5,FALSE,Pink,top
bc832703-566d-469a-9cff-e47a726eddd2.jpg,5,5,FALSE,White,top
48a40617-262a-449a-9e6b-ce98698f27e2.jpg,5,5,FALSE,Black,top
302227f5-ed6e-4ee6-90e6-0f34a5beaa7c.jpg,5,5,FALSE,Pink,top
49e2ec55-2d06-4966-9884-94c65e4f4972.jpg,2,5,TRUE,Purple,top
4f74e46f-48a1-42cc-8cf4-05b558cff1d8.jpg,3,5,TRUE,Black,top
e297f383-8d7a-46f3-b0e7-16b83dfa33cb.jpg,4,5,TRUE,Black,top
92635a77-333c-4123-826e-3546f96adc80.jpg,2,5,FALSE,Gray,bottom
9ce0e184-f9f6-4ea0-be97-e2fbaf2ddc45.jpg,3,4,FALSE,Brown,bottom
ef864365-397b-4680-8812-fc57e82c81a6.jpg,3,3,FALSE,White,top
c072a507-ad8d-4a3e-82ff-03bd3eca96c9.jpg,4,4,FALSE,Green,top
b2abffac-7da0-4611-98d0-7d96f8475987.jpg,3,5,FALSE,White,top
b0350697-953b-4c57-88d1-c84ff7226841.jpg,5,5,FALSE,Gray,bottom
3d8bf48a-9d5a-4ae5-a5e9-0280d01abec1.jpg,3,5,FALSE,Green,top
605932f2-4fb9-435f-bd22-1d4150ce1e88.jpg,4,4,FALSE,Black,top
